category,cpi_bucket
Home Decor/Spiritual/Incense Holders & Sticks,Misc
Bed & Bath/Sanitary Ware/Mixers,Misc
Housekeeping/Laundry/Buckets & Tubs,Misc
Furniture/Chairs/Dining Chairs,Misc
oil and gas,Misc
Bed & Bath/Bath Mats,Misc
Furniture/Chest of Drawers/Eclectic,Misc
Furnishings & Lamps/Ceiling Lights/Flush Mounted,Misc
Housekeeping/Organisers/Trays,Misc
Furniture/Display Units,Misc
Furniture/New Arrivals/Cabinets,Misc
Furniture/Dining Chairs/Colonial,Misc
Bed & Bath/Soap Dispensers,Misc
Housekeeping/Shopping Trolleys,Misc
